lib_name,version,commit_hash,author,commentary,date,link,is_present
ssri,^5.2.2,f89c7ce943a16e9cd85d1ff3b2b73728e3685e37,Pavel,Delete-ISSUE_TEMPLATE.md,2018-12-05T11:56:52+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,e1124bd617e26b42a276b1914c2c727e767fc5d3,Kosilo,Update-issue-templates,2018-12-05T11:56:52+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,c7ac87128c5388381bf00a3e4700db20eebf62da,Pavel,Merge-pull-request-6399-from-traffordDataLab-trafforddatalab_update_plugins,2018-11-28T13:14:53+01:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,a884858b2a1b71379044a94cd7a44d471e200116,Kosilo,Moved-entry-for-leaflet.reachability-plugin-to-the-bottom-of-the-list-of-the-routing-plugins-as-requested-by-Andrew-Cherniavskii,2018-11-28T12:09:03+00:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,9b90ca8ec42c5d68e7eaf6805b16223c2497fba5,Pavel,Merge-pull-request-6370-from-barryhunter-patch-1,2018-11-27T22:48:41+01:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,229a5fba2cb63377f54c7dff51c609912f814118,Kosilo,Make-it-clear-zoomanim-is-not-always-fired-on-every-frame-6388,2018-11-26T20:00:01+01:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,25b6d117e0e9a5e019133241ebd2e42f55863870,Pavel,Plugins-Add-leaflet-tooltip-layout-6382,2018-11-19T16:00:07+01:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,b6027650ed187902f2542265a02ee680548b6252,Kosilo,Plugins-update-read-URL,2018-11-19T15:56:29+01:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,c099d65ed55a050ce19c2aca2e588b3772818445,Pavel,Docs-Plugins-Adding-asymmetrik-ngx-leaflet-to-list-of-plugins-6402,2018-11-15T06:02:20+04:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,736bd586975987e7429ed0f737dc1c9b51927b03,Kosilo,Docs-Plugins-Added-Leaflet.greatCircle-plugin-6403,2018-11-15T05:51:21+04:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,b58de2ed0e6c61b3cbd5819780925c7d96d83fa9,Pavel,Added-entry-for-the-Trafford-Data-Lab-leaflet.reachability-plugin-in-the-Routing-section,2018-11-07T15:37:30+00:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,4e1453b3dd491ff3ac4e91c2bb47a5e1fb9a656d,Kosilo,minor-typos-6398,2018-11-05T12:57:06+01:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,a0225eaee65e2fba803ead78ad368261c8b24e13,Pavel,Fix-6335-by-specifically-checking-for-correspondingElement-6366,2018-10-31T12:28:02+01:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,1811e048844b06a563471b52498e018f53feb2c8,Kosilo,Ignore-dash-arrays-with-non-numeric-entries-in-canvas-6387,2018-10-29T12:05:15+01:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,79ee941d186e730dbff7b5e8d36084caaaf1e391,Pavel,Fix-autoPan-doesn-t-work-when-popup-content-gets-updated-while-a-panning-animation-is-running-6365,2018-10-28T11:48:33+01:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,55755f41bedc47a43ee451a3b3f454ddb5f05f2c,Kosilo,Guard-against-layers-no-longer-attached-to-a-map-in-bringToFront-Back-6389,2018-10-28T08:58:45+04:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,dc8bb15b68120bf6a29ab57ffac534474a7e4084,Pavel,Implemented-map.panInside-to-bring-a-target-latlng-into-view-6054,2018-10-26T16:49:37+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,5a25813e6f8317e15a9237f62ce01dbff916e315,Kosilo,Docs-home-add-OSM-logo-to-trusted-by-the-best-section-6360,2018-10-26T07:55:21+04:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,faafb27e72ab53a8adc8a8d8aa1e430a300323c9,Pavel,Fix-different-element-for-layer-switcher-6380,2018-10-24T16:25:07+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,19d9e3bc93072bac655b9c6c28737442a6afe7fc,Kosilo,Docs-plugins-add-new-plugin-Leaflet-plugin-TrackPlayBack-6376,2018-10-19T08:17:29+04:00,https://github.com/IntelligentMap/Cartographer,YES
